,country,name,sid,id
0,mexico,Galeana,32126,35089
1,mexico,Amorada,69149,77971
2,mexico,Solar Carport MTY,88797,100855
3,mexico,18-c-Enphase-Sergio Trevino,20649,22756
4,mexico,Lalos SMA,15958,18147
5,mexico,RegioSol,38600,42276
6,mexico,Camelias,30681,33473
7,mexico,SPGG SAN AGUSTIN,53983,60638
8,mexico,Prados de la Sierra SPGG,57588,64785
9,mexico,Lucas's residence,22246,24417
10,mexico,Lalos Total Produccion,75280,18147
11,mexico,2.88kw SC system,19558,21688
12,mexico,Albatros Charters 2,27689,23865
13,mexico,Albatros Charters 1,27687,23865
14,mexico,Mexico Sun,67111,75702
15,mexico,CAM1 VHSA,58981,66335
16,mexico,Lalos Enphase,34548,18147
17,mexico,CHOCHUENO (O_o),53911,60560
18,mexico,16-c-Enphase-Jaime Garza,20645,22756
19,mexico,Villarreal,39965,43764
20,mexico,Albatros Charters 3,21734,23865
21,mexico,Lir226,75968,85689
22,mexico,LIM1 TC02,64207,66335
23,mexico,Galeria Azul,27069,23865
24,mexico,Puerto de Leon,84018,95243
25,mexico,PANAL EnergiaLibre 6kwh,25506,26967
26,mexico,Palmerales Altabrisa,53947,60594
